Sample_ID,Treatment_Code,Treatment_Type,Crop,Region,Pest_Reduction_Percent,Economic_Yield_Gain_INR,Canopy_Vitality_Index,Days_After_Application
PRM-1042,2,Chemical_EC,Rice,Punjab,91.34,5206.24,0.908,3
PRM-1043,2,Chemical_EC,Wheat,Ludhiana,89.78,4446.01,0.909,3
PRM-1044,2,Chemical_EC,Wheat,Punjab,91.59,5491.35,0.836,7
PRM-1045,2,Chemical_EC,Rice,Punjab,92.53,4266.77,0.863,3
PRM-1046,2,Chemical_EC,Rice,Ludhiana,90.03,4907.5,0.817,3
PRM-1047,2,Chemical_EC,Rice,Ludhiana,94.73,5039.0,0.875,5
PRM-1048,2,Chemical_EC,Wheat,Punjab,84.94,5707.56,0.852,3
PRM-1049,2,Chemical_EC,Rice,Ludhiana,85.48,5863.36,0.886,3
PRM-1050,2,Chemical_EC,Rice,Punjab,87.08,4848.18,0.858,7
PRM-1051,2,Chemical_EC,Rice,Amritsar,92.37,5745.07,0.888,5
PRM-1052,2,Chemical_EC,Rice,Amritsar,92.73,4829.04,0.841,4
PRM-1053,2,Chemical_EC,Cotton,Ludhiana,85.69,4981.58,0.833,5
PRM-1054,2,Chemical_EC,Wheat,Punjab,92.48,4771.3,0.837,7
PRM-1055,2,Chemical_EC,Rice,Punjab,92.27,4589.98,0.946,4
PRM-1056,2,Chemical_EC,Wheat,Amritsar,98.1,4227.93,0.857,5
PRM-1057,2,Chemical_EC,Wheat,Punjab,86.23,5144.93,0.87,4
PRM-1058,2,Chemical_EC,Cotton,Ludhiana,93.7,5144.57,0.883,7
PRM-1059,2,Chemical_EC,Wheat,Amritsar,91.02,6277.51,0.818,5
PRM-1060,2,Chemical_EC,Wheat,Ludhiana,98.46,4849.24,0.799,3
PRM-1061,3,IPM,Maize,Patiala,77.26,4397.27,0.786,7
PRM-1062,3,IPM,Maize,Bathinda,77.7,4285.79,0.855,3
PRM-1063,3,IPM,Groundnut,Bathinda,90.67,3942.24,0.778,4
PRM-1064,3,IPM,Rice,Patiala,81.96,4500.71,0.838,7
PRM-1065,3,IPM,Maize,Moga,84.49,4557.79,0.859,7
PRM-1066,3,IPM,Groundnut,Patiala,84.28,4588.52,0.786,7
PRM-1067,3,IPM,Rice,Bathinda,83.75,4457.69,0.776,4
PRM-1068,3,IPM,Rice,Bathinda,82.4,4257.33,0.782,3
PRM-1069,3,IPM,Groundnut,Patiala,83.8,4469.29,0.689,5
PRM-1070,3,IPM,Groundnut,Moga,89.26,3802.81,0.739,4
PRM-1071,3,IPM,Groundnut,Patiala,72.3,4641.6,0.857,4
PRM-1072,3,IPM,Rice,Bathinda,86.18,4504.74,0.847,3
PRM-1073,3,IPM,Maize,Moga,79.81,4833.05,0.786,7
PRM-1074,3,IPM,Rice,Patiala,77.64,3976.5,0.632,5
PRM-1075,3,IPM,Rice,Bathinda,87.72,5335.85,0.783,4
PRM-1076,3,IPM,Rice,Moga,82.65,4529.56,0.766,5
PRM-1077,3,IPM,Maize,Moga,91.72,4657.79,0.805,4
PRM-1078,3,IPM,Maize,Moga,81.68,4331.01,0.81,4
PRM-1079,3,IPM,Rice,Patiala,81.46,4041.31,0.822,4
PRM-1080,3,IPM,Rice,Bathinda,72.72,4219.81,0.789,5
PRM-1081,3,IPM,Rice,Bathinda,86.17,4437.62,0.799,7
PRM-1082,3,IPM,Rice,Moga,75.39,5120.16,0.824,3
PRM-1083,3,IPM,Rice,Patiala,86.07,4942.0,0.773,7
PRM-1084,3,IPM,Maize,Patiala,72.96,3499.91,0.857,7
PRM-1085,3,IPM,Groundnut,Patiala,70.2,4733.65,0.792,4
PRM-1086,3,IPM,Groundnut,Moga,82.85,4315.97,0.772,3
PRM-1087,3,IPM,Rice,Bathinda,88.16,5208.27,0.794,7
PRM-1088,3,IPM,Maize,Patiala,86.86,4028.44,0.879,3
PRM-1089,3,IPM,Rice,Patiala,79.32,3852.55,0.886,4
PRM-1090,3,IPM,Rice,Bathinda,72.54,5157.03,0.713,4
PRM-1091,4,Control,Cotton,Gurdaspur,39.11,754.56,0.283,5
PRM-1092,4,Control,Wheat,Gurdaspur,40.68,684.81,0.429,5
PRM-1093,4,Control,Soybean,Fazilka,27.52,882.8,0.441,4
PRM-1094,4,Control,Wheat,Fazilka,31.22,951.59,0.485,4
PRM-1095,4,Control,Soybean,Fazilka,24.45,1093.08,0.335,3
PRM-1096,4,Control,Cotton,Gurdaspur,27.22,1003.28,0.399,7
PRM-1097,4,Control,Cotton,Fazilka,28.49,767.93,0.522,4
PRM-1098,4,Control,Soybean,Gurdaspur,27.68,1028.25,0.527,5
PRM-1099,4,Control,Cotton,Firozpur,34.31,1324.28,0.343,4
PRM-1100,4,Control,Soybean,Gurdaspur,34.67,1399.28,0.522,5
PRM-1101,4,Control,Cotton,Gurdaspur,26.08,1122.44,0.54,4
PRM-1102,4,Control,Wheat,Firozpur,29.17,371.95,0.416,4
PRM-1103,4,Control,Soybean,Gurdaspur,9.89,872.37,0.316,3
PRM-1104,4,Control,Soybean,Firozpur,34.53,1626.01,0.332,7
PRM-1105,4,Control,Soybean,Gurdaspur,18.59,1051.18,0.48,3
PRM-1106,4,Control,Soybean,Gurdaspur,25.88,923.57,0.448,3
PRM-1107,4,Control,Cotton,Firozpur,23.73,654.21,0.411,4
PRM-1108,4,Control,Soybean,Fazilka,19.18,783.85,0.355,4
PRM-1109,4,Control,Wheat,Gurdaspur,33.13,1273.44,0.488,3
PRM-1110,4,Control,Cotton,Firozpur,22.92,907.36,0.445,4
PRM-1111,4,Control,Soybean,Gurdaspur,30.23,1395.1,0.4,5
PRM-1112,4,Control,Soybean,Gurdaspur,29.65,1168.72,0.458,7
PRM-1113,4,Control,Wheat,Gurdaspur,27.35,603.78,0.291,3
PRM-1114,4,Control,Wheat,Gurdaspur,30.33,980.58,0.317,4
PRM-1115,4,Control,Cotton,Gurdaspur,21.54,791.26,0.437,3
PRM-1116,4,Control,Soybean,Firozpur,36.7,629.07,0.42,4
PRM-1117,4,Control,Wheat,Firozpur,47.26,1331.18,0.259,7
PRM-1118,4,Control,Soybean,Fazilka,38.11,1187.12,0.573,4
PRM-1119,4,Control,Soybean,Firozpur,15.91,1074.52,0.368,4
PRM-1120,4,Control,Soybean,Firozpur,24.12,1147.22,0.432,4
